Name,Match,nameStrPercent,matchStrPercent,nameWordPercent,matchWordPercent,Ticker,Exchange
Xact Metal,Compact Metal Industries Ltd,0.9,0.321428571429,0.5,0.333333333333,T4E.SI,SES
Energica,Energica Motor Company S.p.A.,1.0,0.275862068966,1.0,0.333333333333,EM8.F,FRA
Fonon Corporation,Fonon Corporation,1.0,1.0,1.0,1.0,FNON,PNK
Sandvik,Sandvik AB,1.0,0.7,1.0,0.5,SAND.ST,STO
Kreon,Kreon Finnancial Services Ltd,1.0,0.172413793103,1.0,0.333333333333,KREONFIN.BO,BSE
Wacker,Wacker Chemie AG,1.0,0.375,1.0,0.5,WCH.SW,EBS
Adobe,Adobe Systems Incorporated,1.0,0.192307692308,1.0,0.5,ADBE.MX,MEX
Graphene 3D Lab Inc.,Graphene 3D Lab Inc.,1.0,1.0,1.0,1.0,G31.F,FRA
Arsenal,Arsenal Energy Inc.,1.0,0.368421052632,1.0,1.0,AEI.TO,TOR
Servotech,Servotech Engineering Industries Ltd.,1.0,0.243243243243,1.0,0.5,SERVOTEC.BO,BSE
JBM,JBM AUTO LTD INR5,1.0,0.176470588235,1.0,0.333333333333,JBMA-EQ.NS,NSI
Thermwood Corporation,Thermwood Corporation,1.0,1.0,1.0,1.0,TOOD,PNK
Sigma Labs,"Sigma Labs, Inc.",1.0,0.625,1.0,1.0,SGLBD,PNK
Métropole,Métropole Télévision S.A.,1.0,0.357142857143,1.0,0.4,MMT.PA,PAR
3D Industries,AMD Industries Limited,0.923076923077,0.545454545455,1.0,0.5,AMDIND.NS,NSI
EDAG,EDAG Engineering Group AG,1.0,0.16,1.0,1.0,ED4.F,FRA
D3 TECHNOLOGIES,M3 TECHNOLOGIES(ASIA)BHD,0.933333333333,0.583333333333,0.5,0.25,0017.KL,KLS
ARC Group,"ARC Group Worldwide, Inc.",1.0,0.36,1.0,0.5,ARCW,NCM
Vector,Vector Group Ltd.,1.0,0.352941176471,1.0,1.0,VGR,NYQ
Altran,Altran Technologies S.A.,1.0,0.25,1.0,1.0,0IWK.L,LSE
Elbit Systems,Elbit Systems Ltd.,1.0,0.722222222222,1.0,1.0,EB2.F,FRA
Changing Technologies,"Changing Technologies, Inc.",1.0,0.777777777778,1.0,1.0,CHGT,PNK
Alligator,Alligator Energy Limited,1.0,0.375,1.0,1.0,AGE.AX,ASX
Applied Materials,"Applied Materials, Inc.",1.0,0.739130434783,1.0,1.0,AP2.DE,GER
Heijmans,Heijmans N.V. Cert.v.Aandelen E,1.0,0.258064516129,1.0,0.166666666667,HJN1.SG,STU
ACRON,ACRON GDR REG.S/1 RL 5,1.0,0.227272727273,1.0,0.166666666667,ANQ1.BE,BER
3D Pioneer Systems,"3D Pioneer Systems, Inc.",1.0,0.75,1.0,1.0,DPSM,PNK
DWS,DWS Limited,1.0,0.272727272727,1.0,1.0,DWS.AX,ASX
United Therapeutics Corporation,United Therapeutics Corporation,1.0,1.0,1.0,1.0,UTH.F,FRA
Autodesk,"Autodesk, Inc.",1.0,0.571428571429,1.0,1.0,AUD.F,FRA
Monomer,Taiwan Styrene Monomer Corporation,1.0,0.205882352941,1.0,0.333333333333,1310.TW,TAI
CGS,CGS International Inc.,1.0,0.136363636364,1.0,1.0,5310.TWO,TWO
Evonik,Evonik Industries AG Namens-Akt,1.0,0.193548387097,1.0,0.25,EVK.SG,STU
Quantum Materials,Quantum Materials Corp.,1.0,0.739130434783,1.0,0.666666666667,QTMM,PNK
