,CumulativeReturn,SharpeRatio,MaxDrawdown,MaxDailyloss
marketcap,4.8433735383763752,1.1824469105858828,0.2356238515482042,-0.066615942380004053
price,4.003051855887465,0.8453433891510953,0.24862566535511088,-0.065862714750029291
revenue,3.95128501045517,0.99792199472358756,0.33660196688462352,-0.073196952793638553
equal,2.4688217766333782,0.5791446890476375,0.30320606720800902,-0.074676768251601577
beta,2.2000631554839676,0.094718735138501917,0.69077975133002778,-0.76950908486995429
