NameTicker
DLPH
AA
SYK
SSYS
CFMS
HPQ
ONVO
MGA
SPR
EIGI
ANSS
XONE
OA
TSLA
HXL
SGYP
CRS
SHLM
AXS
AJRD
ZBH
LMT
ADBE
VGR
AMAT
UTHR
ADSK
DDD
